,,"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)"
"WHO region","Year","Both sexes","Male","Female"
"Americas","2016","126","162","89"
"Americas","2015","126","162","89"
"Americas","2014","125","161","88"
"Americas","2013","125","162","89"
"Americas","2012","127","164","89"
"Americas","2011","128","165","90"
"Americas","2010","135","175","95"
"Americas","2009","131","169","92"
"Americas","2008","131","169","92"
"Americas","2007","131","169","92"
"Americas","2006","133","172","94"
"Americas","2005","134","173","95"
"Americas","2004","136","175","96"
"Americas","2003","139","179","98"
"Americas","2002","141","182","100"
"Americas","2001","143","184","101"
"Americas","2000","143","185","101"
